Дикие сердцем,Драма,Мелодрама,Философское,Классика (до 2000 года),7.1
Маленькие женщины,Драма,Семейный,Вдохновляющее,Современное кино (2000–2020),7.9
Дни летные,Драма,Мелодрама,Вдохновляющее,Классика (до 2000 года),7.3
Что гложет Гилберта Грейпа?,Драма,Семейный,Грустное/Трагическое,Классика (до 2000 года),7.7
Обыкновенное сердце,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),7.9
Глубоководный горизонт,Драма,Боевик (Экшен),Грустное/Трагическое,Современное кино (2000–2020),7.1
Левиафан,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.1
Идеальные дни,Драма,Неважно,Философское,Новинки (2020–2025),7.9
Калифорния,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),6.6
Лекарство,Драма,Семейный,Грустное/Трагическое,Новинки (2020–2025),7.5
Каран и Арджун,Драма,Семейный,Грустное/Трагическое,Классика (до 2000 года),7.9
Из Африки,Драма,Мелодрама,Вдохновляющее,Классика (до 2000 года),7.9
Вторая жизнь Гарольда Фрая,Драма,Мелодрама,Вдохновляющее,Новинки (2020–2025),6.6
Время отдыха с субботы до понедельника,Драма,Семейный,Философское,Классика (до 2000 года),6.8
Грязь,Драма,Приключения,Вдохновляющее,Современное кино (2000–2020),7.8
Роль,Драма,Мелодрама,Грустное/Трагическое,Новинки (2020–2025),6.8
Сережа,Драма,Семейный,Вдохновляющее,Классика (до 2000 года),7.9
Смерть и жизнь Джона Ф. Донована,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),6.2
Успех,Драма,Семейный,Философское,Новинки (2020–2025),6.3
Сибириада,Драма,Исторический,Философское,Классика (до 2000 года),7.4
Человек без лица,Драма,Семейный,Вдохновляющее,Классика (до 2000 года),7.5
Разоблачение,Драма,Детектив,Грустное/Трагическое,Современное кино (2000–2020),8.0
На цепи,Драма,Семейный,Вдохновляющее,Новинки (2020–2025),8.2
Стукачка,Драма,Криминал,Грустное/Трагическое,Новинки (2020–2025),6.3
У зеркала два лица,Драма,Мелодрама,Философское,Классика (до 2000 года),6.9
40,Драма,Криминал,Грустное/Трагическое,Новинки (2020–2025),6.7
Страсти Христовы,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),7.8
Обещание,Драма,Военный,Грустное/Трагическое,Современное кино (2000–2020),6.8
Хорошо быть тихоней,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.9
Кальмар и кит,Драма,Семейный,Грустное/Трагическое,Современное кино (2000–2020),7.4
Не оставляющий следа,Драма,Семейный,Философское,Современное кино (2000–2020),7.1
Паутинка бабьего лета,Драма,Мелодрама,Вдохновляющее,Новинки (2020–2025),7.1
Дикая жизнь,Драма,Семейный,Грустное/Трагическое,Современное кино (2000–2020),6.9
Испытание,Драма,Криминал,Грустное/Трагическое,Новинки (2020–2025),6.8
Палмер,Драма,Семейный,Вдохновляющее,Новинки (2020–2025),7.1
Путь к причалу,Драма,Криминал,Вдохновляющее,Классика (до 2000 года),8.2
Огненные колесницы,Драма,Исторический,Вдохновляющее,Классика (до 2000 года),8.1
Шофер на один рейс,Драма,Триллер,Грустное/Трагическое,Новинки (2020–2025),6.7
Эскорт,Драма,Мелодрама,Грустное/Трагическое,Новинки (2020–2025),6.4
Остановился поезд,Драма,Криминал,Философское,Классика (до 2000 года),7.1
Бобби,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),6.8
Чужая ненависть,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.4
Обет молчания,Драма,Исторический,Философское,Современное кино (2000–2020),7.4
Ранэвэйс,Драма,Приключения,Грустное/Трагическое,Современное кино (2000–2020),6.4
Ложное искушение,Драма,Триллер,Философское,Новинки (2020–2025),5.9
Солнечный удар,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),5.9
Пианистка,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.4
Королева сердец,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),6.9
Опасный возраст,Драма,Криминал,Грустное/Трагическое,Новинки (2020–2025),6.4
