Горец,Фэнтези,Боевик (Экшен),Эпическое,Классика (до 2000 года),7.5
Желание,Фэнтези,Семейный,Эпическое,Новинки (2020–2025),6.3
Возвращение Джафара,Фэнтези,Семейный,Мифологическое,Классика (до 2000 года),6.9
Эдвард руки-ножницы,Фэнтези,Драма,Городское,Классика (до 2000 года),8.0
Гарри Поттер и Дары смерти. Часть первая,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.7
Садко,Фэнтези,Приключения,Мифологическое,Классика (до 2000 года),7.2
Ходячий замок,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.2
Ван Хельсинг,Фэнтези,Боевик (Экшен),Темное,Современное кино (2000–2020),6.9
Наследство волшебника Бахрама,Фэнтези,Приключения,Мифологическое,Новинки (2020–2025),6.9
Вечная сказка,Фэнтези,Мелодрама,Мифологическое,Новинки (2020–2025),6.7
Три богатыря и Шамаханская царица,Фэнтези,Семейный,Мифологическое,Современное кино (2000–2020),6.9
Король-олень,Фэнтези,Семейный,Мифологическое,Классика (до 2000 года),7.3
На крючке,Фэнтези,Приключения,Мифологическое,Классика (до 2000 года),7.6
Вампиреныш,Фэнтези,Ужасы,Темное,Современное кино (2000–2020),6.3
Воображариум доктора Парнаса,Фэнтези,Драма,Темное,Современное кино (2000–2020),6.9
Блич,Фэнтези,Боевик (Экшен),Темное,Новинки (2020–2025),7.6
Звездная пыль,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.8
Снегурка,Фэнтези,Мелодрама,Мифологическое,Классика (до 2000 года),7.3
Золотой компас,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),6.7
Две сказки,Фэнтези,Семейный,Мифологическое,Новинки (2020–2025),6.5
Конан-варвар,Фэнтези,Приключения,Эпическое,Классика (до 2000 года),7.4
Во имя короля: История осады подземелья,Фэнтези,Боевик (Экшен),Эпическое,Современное кино (2000–2020),4.9
Школа Авалон,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),6.4
Заколдованная Элла,Фэнтези,Семейный,Мифологическое,Современное кино (2000–2020),6.8
Легенда о сэре Гавейне и зеленом рыцаре,Фэнтези,Исторический,Мифологическое,Новинки (2020–2025),7.6
Оз: Возвращение в Изумрудный Город,Фэнтези,Семейный,Мифологическое,Новинки (2020–2025),6.1
Граница,Фэнтези,Драма,Темное,Современное кино (2000–2020),7.1
Пена дней,Фэнтези,Мелодрама,Городское,Современное кино (2000–2020),6.9
Кощей. Похититель невест,Фэнтези,Приключения,Мифологическое,Новинки (2020–2025),6.3
Крупная рыба,Фэнтези,Драма,Мифологическое,Современное кино (2000–2020),7.9
Царь скорпионов: Книга душ,Фэнтези,Боевик (Экшен),Эпическое,Современное кино (2000–2020),5.3
Джек и механическое сердце,Фэнтези,Мелодрама,Темное,Современное кино (2000–2020),7.1
Чародей равновесия,Фэнтези,Приключения,Мифологическое,Новинки (2020–2025),6.9
Сага о чудовище. Сумерки,Фэнтези,Мелодрама,Темное,Современное кино (2000–2020),6.5
Хоббит: Битва пяти воинств,Фэнтези,Боевик (Экшен),Эпическое,Современное кино (2000–2020),7.5
Путешествие на Запад,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),6.8
Тор,Фэнтези,Боевик (Экшен),Мифологическое,Современное кино (2000–2020),6.9
Битва титанов,Фэнтези,Боевик (Экшен),Мифологическое,Современное кино (2000–2020),6.6
Между,Фэнтези,Мелодрама,Городское,Новинки (2020–2025),6.3
Гензель против Гретель,Фэнтези,Боевик (Экшен),Темное,Современное кино (2000–2020),5.9
Темный мир: Равновесие,Фэнтези,Ужасы,Темное,Современное кино (2000–2020),3.9
Алиса: Волнение,Фэнтези,Приключения,Мифологическое,Новинки (2020–2025),6.1
Дед Мороз. Битва Магов,Фэнтези,Комедия,Мифологическое,Новинки (2020–2025),5.9
Варкрафт,Фэнтези,Боевик (Экшен),Эпическое,Современное кино (2000–2020),6.6
Практическая магия,Фэнтези,Мелодрама,Городское,Классика (до 2000 года),6.9
Атака Титанов. Фильм первый: Жестокий мир,Фэнтези,Боевик (Экшен),Темное,Современное кино (2000–2020),7.4
Легенды ночных стражей,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.4
Первый рыцарь,Фэнтези,Приключения,Эпическое,Классика (до 2000 года),7.1
Сказка странствий,Фэнтези,Драма,Мифологическое,Современное кино (2000–2020),8.0
Тайна печати дракона,Фэнтези,Приключения,Мифологическое,Новинки (2020–2025),6.4
Русалки,Фэнтези,Семейный,Мифологическое,Новинки (2020–2025),6.9
Красная черепаха,Фэнтези,Драма,Мифологическое,Современное кино (2000–2020),7.4
Убить дракона,Фэнтези,Драма,Городское,Современное кино (2000–2020),6.7
Сумерки,Фэнтези,Мелодрама,Темное,Современное кино (2000–2020),6.0
Гоголь. Страшная месть,Фэнтези,Детектив,Мифологическое,Современное кино (2000–2020),5.9
Пастырь,Фэнтези,Военный,Мифологическое,Новинки (2020–2025),7.7
Цвет волшебства,Фэнтези,Комедия,Эпическое,Современное кино (2000–2020),7.1
Фауст,Фэнтези,Драма,Мифологическое,Современное кино (2000–2020),6.9
Фантастические твари и где они обитают,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.5
Эспен в королевстве троллей,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),6.9
Властелин Колец: Возвращение Короля,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.7
Унесенные призраками,Фэнтези,Семейный,Мифологическое,Современное кино (2000–2020),8.1
Властелин Колец: Две крепости,Фэнтези,Боевик (Экшен),Эпическое,Современное кино (2000–2020),8.7
Бесконечная история 2: Новая глава,Фэнтези,Семейный,Эпическое,Классика (до 2000 года),6.7
Гарри Поттер и кубок огня,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.9
Алиса в стране чудес,Фэнтези,Приключения,Темное,Современное кино (2000–2020),7.3
Хеллбой: Герой из пекла,Фэнтези,Боевик (Экшен),Темное,Современное кино (2000–2020),6.9
Руслан,Фэнтези,Приключения,Мифологическое,Новинки (2020–2025),5.4
Хоббит: Битва Пяти Воинств,Фэнтези,Боевик (Экшен),Эпическое,Современное кино (2000–2020),7.5
