Два мира,Фантастика,Мелодрама,Альтернативная реальность,Новинки (2020–2025),6.3
Планета обезьян: Революция,Фантастика,Боевик (Экшен),Постапокалипсис,Современное кино (2000–2020),7.8
Коридор бессмертия,Фантастика,Боевик (Экшен),Альтернативная реальность,Новинки (2020–2025),6.7
Риддик,Фантастика,Боевик (Экшен),Космическая,Современное кино (2000–2020),6.8
Филадельфийский эксперимент,Фантастика,Триллер,Альтернативная реальность,Классика (до 2000 года),6.9
Побег из Нью-Йорка,Фантастика,Боевик (Экшен),Постапокалипсис,Классика (до 2000 года),7.5
Обитаемый остров,Фантастика,Боевик (Экшен),Космическая,Современное кино (2000–2020),6.0
Запрещенная реальность,Фантастика,Боевик (Экшен),Альтернативная реальность,Современное кино (2000–2020),4.6
Она,Фантастика,Мелодрама,Альтернативная реальность,Современное кино (2000–2020),7.9
Виктор Франкенштейн,Фантастика,Ужасы,Альтернативная реальность,Современное кино (2000–2020),6.2
Искусственный разум,Фантастика,Драма,Альтернативная реальность,Современное кино (2000–2020),7.4
Фантастическая четверка: Вторжение Серебряного серфера,Фантастика,Боевик (Экшен),Космическая,Современное кино (2000–2020),5.9
Чужой: Завет,Фантастика,Ужасы,Космическая,Современное кино (2000–2020),6.4
Звездные войны: Эпизод 2 — Атака клонов,Фантастика,Боевик (Экшен),Космическая,Современное кино (2000–2020),7.7
День независимости: Возрождение,Фантастика,Боевик (Экшен),Космическая,Современное кино (2000–2020),3.9
Предчувствие,Фантастика,Драма,Альтернативная реальность,Современное кино (2000–2020),6.4
Врата Штейна: Дежавю,Фантастика,Триллер,Альтернативная реальность,Современное кино (2000–2020),8.4
Континуум,Фантастика,Боевик (Экшен),Киберпанк,Современное кино (2000–2020),7.9
Планета Ка-Пэкс,Фантастика,Драма,Космическая,Современное кино (2000–2020),7.9
Эффект бабочки 2,Фантастика,Триллер,Альтернативная реальность,Современное кино (2000–2020),5.9
Обитель зла 3,Фантастика,Боевик (Экшен),Постапокалипсис,Современное кино (2000–2020),6.4
