Вилли Вонка и шоколадная фабрика,Семейный,Фэнтези,Детские приключения,Классика (до 2000 года),8.1
Лемони Сникет: 33 несчастья,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),7.3
Кот,Семейный,Фэнтези,Истории с животными,Новинки (2020–2025),6.2
Вперед,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),7.3
Лэсси,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.9
Кот Гром и заколдованный дом,Семейный,Фэнтези,Истории с животными,Новинки (2020–2025),6.6
Заклинательница акул,Семейный,Фэнтези,Истории с животными,Новинки (2020–2025),6.4
Норм и Несокрушимые,Семейный,Приключения,Истории с животными,Новинки (2020–2025),4.3
Маша и море,Семейный,Приключения,Детские приключения,Новинки (2020–2025),6.8
Упс! Ной уплыл...,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),6.7
Лесной воин,Семейный,Фэнтези,Детские приключения,Классика (до 2000 года),7.1
Призрачный патруль,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),6.2
Барашек Шон,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),7.6
My Little Pony в кино,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),6.8
Бесподобный мистер Фокс,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),7.9
Сказка о рыбаке и рыбке,Семейный,Фэнтези,Детские приключения,Классика (до 2000 года),7.9
Джунгли зовут! В поисках Марсупилами,Семейный,Приключения,Истории с животными,Новинки (2020–2025),6.4
Отцы и деды,Семейный,Военный,Межпоколенческие драмы,Новинки (2020–2025),6.9
Неисправимый Рон,Семейный,Комедия,Семейные комедии,Новинки (2020–2025),7.1
Карлик Нос,Семейный,Фэнтези,Детские приключения,Классика (до 2000 года),7.1
Феи: Тайна зимнего леса,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),6.9
Когда я стану великаном,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),7.1
Санта Лапус 2: Санта лапушки,Семейный,Фэнтези,Истории с животными,Современное кино (2000–2020),6.3
Полярный экспресс,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),7.8
Миграция,Семейный,Приключения,Истории с животными,Новинки (2020–2025),6.4
Монстр-Траки,Семейный,Фантастика,Детские приключения,Современное кино (2000–2020),6.3
Семейка бигфутов,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),5.9
Цыпленок Цыпа,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),7.9
Два брата,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.6
Маша и медведь. Героями не рождаются,Семейный,Приключения,Детские приключения,Новинки (2020–2025),7.3
Приключения домовенка,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),6.4
Семейное счастье,Семейный,Мелодрама,Межпоколенческие драмы,Современное кино (2000–2020),5.7
Храбрый заяц,Семейный,Приключения,Истории с животными,Новинки (2020–2025),6.7
Ночь в музее,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),7.4
Классный мюзикл,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),7.3
Подержанные львы,Семейный,Комедия,Межпоколенческие драмы,Современное кино (2000–2020),7.9
Барашек Шон: Фермагеддон,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),7.3
Медведь,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.9
Моя ужасная няня,Семейный,Фэнтези,Семейные комедии,Современное кино (2000–2020),7.4
Аэротачки,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),6.3
Волк и семеро козлят на новый лад,Семейный,Фэнтези,Истории с животными,Новинки (2020–2025),6.3
Таинственный сад,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),6.9
Три богатыря и Наследница престола,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),6.1
Энканто,Семейный,Фэнтези,Межпоколенческие драмы,Новинки (2020–2025),8.0
Лягушка-путешественница,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.1
Семейка вампиров,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),5.7
Замбезия,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),6.8
Как поймать монстра,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),6.7
В поисках Немо,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),8.1
Почтальон Пэт,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),5.4
София Прекрасная: История принцессы,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),7.3
Ключ времени,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.3
Остров собак,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.7
Все псы попадают в рай 2,Семейный,Приключения,Истории с животными,Классика (до 2000 года),6.9
Волшебный голос Джельсомино,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.7
Тайная жизнь,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),7.0
Ребята с улицы,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.3
Принцесса Льда,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),6.5
Умка ищет друга,Семейный,Приключения,Истории с животными,Классика (до 2000 года),8.0
Добро пожаловать к Райли,Семейный,Комедия,Семейные комедии,Новинки (2020–2025),8.1
Олененок Рудольф,Семейный,Фэнтези,Истории с животными,Классика (до 2000 года),7.7
Крошка из Беверли-Хиллз 2,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),4.7
Пэн: Путешествие в Нетландию,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),6.1
Пеппи Длинныйчулок,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.6
Дорога домой: Невероятное путешествие,Семейный,Приключения,Истории с животными,Классика (до 2000 года),8.1
Красавица и чудовище: Чудесное Рождество,Семейный,Фэнтези,Детские приключения,Классика (до 2000 года),6.9
Мы — одна команда,Семейный,Приключения,Истории с животными,Новинки (2020–2025),6.9
Зубастики,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),6.7
Жил-был кот,Семейный,Комедия,Истории с животными,Новинки (2020–2025),6.9
Бобик в гостях у Барбоса,Семейный,Комедия,Истории с животными,Классика (до 2000 года),8.1
История игрушек: Большой побег,Семейный,Фантастика,Детские приключения,Современное кино (2000–2020),7.6
Приключения Винни Пуха,Семейный,Комедия,Детские приключения,Классика (до 2000 года),8.5
Снежные псы,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),5.9
День курка,Семейный,Комедия,Истории с животными,Новинки (2020–2025),6.9
Гарфилд 2: История двух кошечек,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),5.3
Агент Коди Бэнкс,Семейный,Боевик (Экшен),Детские приключения,Современное кино (2000–2020),6.5
Большое путешествие,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),5.4
Снежная королева 3: Огонь и Лед,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),6.2
Капризная принцесса,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),6.1
Барбос в гостях у Бобика,Семейный,Комедия,Истории с животными,Классика (до 2000 года),7.4
Путешествие с домашними животными,Семейный,Комедия,Истории с животными,Новинки (2020–2025),6.4
Стюарт Литтл,Семейный,Фэнтези,Истории с животными,Классика (до 2000 года),6.9
Муми-тролль и другие,Семейный,Фэнтези,Детские приключения,Классика (до 2000 года),7.3
Мэри и ведьмин цветок,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),7.4
Балто,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.4
Семейка Крудс: Новоселье,Семейный,Комедия,Детские приключения,Новинки (2020–2025),7.3
Головоломка,Семейный,Комедия,Детские приключения,Современное кино (2000–2020),8.1
Красавица и чудовище,Семейный,Фэнтези,Детские приключения,Классика (до 2000 года),8.1
Кунг-Фу Панда 2,Семейный,Боевик (Экшен),Истории с животными,Современное кино (2000–2020),8.0
Национальный бархат,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.9
Никита Кожемяка,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),6.4
Ночь в музее: Секрет гробницы,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),6.6
Наша Маша и Волшебный орех,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),5.9
Подарок на Рождество,Семейный,Комедия,Семейные комедии,Новинки (2020–2025),6.2
Карлсон вернулся,Семейный,Комедия,Детские приключения,Новинки (2020–2025),6.1
Гринч — похититель Рождества,Семейный,Фэнтези,Семейные комедии,Современное кино (2000–2020),6.9
Доктор Дулиттл,Семейный,Фэнтези,Истории с животными,Классика (до 2000 года),6.8
"Мэри Поппинс, до свидания",Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),7.3
Питомец Юрского периода,Семейный,Фантастика,Истории с животными,Новинки (2020–2025),6.3
История Хатико,Семейный,Драма,Истории с животными,Современное кино (2000–2020),8.3
Смешарики. Дежавю,Семейный,Фантастика,Истории с животными,Новинки (2020–2025),6.8
Мой ужасный сосед,Семейный,Комедия,Семейные комедии,Новинки (2020–2025),6.3
Пушистые против зубастых,Семейный,Комедия,Истории с животными,Новинки (2020–2025),6.7
Как приручить дракона 2,Семейный,Фэнтези,Истории с животными,Современное кино (2000–2020),8.0
Король Лев 2: Гордость Симбы,Семейный,Фэнтези,Истории с животными,Классика (до 2000 года),7.7
Месть пушистых,Семейный,Комедия,Истории с животными,Новинки (2020–2025),6.1
Пингвины мистера Поппера,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),6.8
Железяки,Семейный,Фантастика,Детские приключения,Новинки (2020–2025),6.8
Щелкунчик и четыре королевства,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),5.8
Бука. Мое любимое чудище,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),7.1
Белоснежка,Семейный,Фэнтези,Детские приключения,Классика (до 2000 года),7.9
Неваляшка 2,Семейный,Комедия,Детские приключения,Новинки (2020–2025),6.4
Потерянный орех,Семейный,Приключения,Детские приключения,Новинки (2020–2025),6.4
Странная жизнь Тимоти Грина,Семейный,Фэнтези,Семейные комедии,Современное кино (2000–2020),7.2
По следам бременских музыкантов,Семейный,Комедия,Детские приключения,Классика (до 2000 года),8.2
Олли и сокровища пиратов,Семейный,Приключения,Детские приключения,Новинки (2020–2025),6.5
Гуси-лебеди,Семейный,Фэнтези,Детские приключения,Классика (до 2000 года),7.9
Уличный кот по кличке Боб,Семейный,Биографический,Истории с животными,Современное кино (2000–2020),7.8
Книга драконов,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),6.9
Корпорация Монстров,Семейный,Фантастика,Детские приключения,Современное кино (2000–2020),8.0
Мой Хатико,Семейный,Драма,Истории с животными,Новинки (2020–2025),7.4
Мой парень из зоопарка,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),7.5
Лисенок Вук,Семейный,Приключения,Истории с животными,Классика (до 2000 года),8.1
Рыбка Поньо на утесе,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),7.9
Лука,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),7.8
