0;1;2;3;4;5;6;7;8;9;10;20_похожих
Два мира;Фантастика;Мелодрама;Альтернативная реальность;Новинки (2020–2025);6.3;;;;;;"Временная связь;Я создан для тебя;Четвертое желание;Фантастическая любовь и где ее найти;Два мира;Два мира;Два мира;Два мира;Два мира;Два мира;Двое во Вселенной;Два мира;Последний романтик планеты Земля;Твое имя;Она;Фейерверк;Воспоминания о будущем;Жена путешественника во времени;Вечно молодой;Частоты"
Два мира;Фантастика;Мелодрама;Альтернативная реальность;Новинки (2020–2025);6.663;261403;Les deux mondes;5.6;0;;"Временная связь;Я создан для тебя;Четвертое желание;Фантастическая любовь и где ее найти;Два мира;Два мира;Два мира;Два мира;Два мира;Два мира;Два мира;Двое во Вселенной;Последний романтик планеты Земля;Твое имя;Она;Фейерверк;Воспоминания о будущем;Жена путешественника во времени;Вечно молодой;Частоты"
Планета обезьян: Революция;Фантастика;Боевик (Экшен);Постапокалипсис;Современное кино (2000–2020);7.064;646674;Dawn of the Planet of the Apes;7.6;8;;"Поле битвы: Земля;Район 37;2012;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог;Metallica: Сквозь невозможное;Голодные игры;Планета обезьян: Война;Послезавтра;Обливион;Война миров Z;Книга Илая;Сквозь снег;Бегущий в лабиринте;Дивергент;Элизиум: Рай не на Земле;Власть огня"
Коридор бессмертия;Фантастика;Боевик (Экшен);Альтернативная реальность;Новинки (2020–2025);7.25;893835;;5.6;0;;"Человек-Паук: Паутина Вселенных;Все везде и сразу;Довод;Заново родиться;Доктор Стрэндж: В мультивселенной безумия;На границе миров;Проект «Адам»;Кома;Ассасин: Битва миров;Захватывающее время;Бесконечность;Охотник на монстров;За пределами Вселенной;Аномалия;Невидимки;Начало;Район №9;День Доктора;Грань будущего;Эквилибриум"
Риддик;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);6.78;455767;Riddick;6.4;5.4;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи"
Филадельфийский эксперимент;Фантастика;Триллер;Альтернативная реальность;Классика (до 2000 года);6.656;2445;The Philadelphia Experiment;6.1;5.1;;"Открой глаза;Тринадцатый этаж;Куб;Сфера;Темный город;2:22;Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители;Пиджак;Петля времени;Меняющие реальность;Скрижали судьбы"
Побег из Нью-Йорка;Фантастика;Боевик (Экшен);Постапокалипсис;Классика (до 2000 года);6.932;4404;Escape from New York;7.1;7.3;;"Терминатор 2 - 3D;Терминатор;Водная жизнь;Судья Дредд;Водный мир;Искатель воды;Терминатор 2: судный день;Завоевание планеты обезьян;Безумный Макс 3: Под куполом грома;Человек Омега;Киборг;Поле битвы: Земля;Район 37;2012;Гонка на вымирание;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог"
Обитаемый остров;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);4.331;257774;;5.1;0;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи"
Запрещенная реальность;Фантастика;Боевик (Экшен);Альтернативная реальность;Современное кино (2000–2020);2.775;251991;;3.6;0;;"Начало;Район №9;День Доктора;Грань будущего;Эквилибриум;Дежавю;Вступление;Патруль времени;Хранитель времени;Время;Другой мир 2: Эволюция;Тихоокеанский рубеж;Мы из будущего;Районы;Вне времени;Код 8;Хроника;Телепорт;Побеждая время;Суррогаты"
Она;Фантастика;Мелодрама;Альтернативная реальность;Современное кино (2000–2020);7.662;577488;Her;8;8.5;;"Твое имя;Фейерверк;Воспоминания о будущем;Жена путешественника во времени;Частоты;Путешествие времени;Зои;Равные;Вверх тормашками;Временная связь;Я создан для тебя;Четвертое желание;Вечно молодой;Фантастическая любовь и где ее найти;Два мира;Два мира;Два мира;Два мира;Два мира;Два мира"
Виктор Франкенштейн;Фантастика;Ужасы;Альтернативная реальность;Современное кино (2000–2020);6.191;596985;Victor Frankenstein;6;4.7;;"Мерцающий;Вивариум;Куб Зеро;Морган;Парадокс Кловерфилда;Райские холмы;Вторжение похитителей тел;Мертвая зона;Преступления будущего;За гранью реальности;28 недель спустя;Жизнь;Монстры;Я - легенда;Я — легенда;Эпидемия. Вонгозеро;Прометей;Платформа;Пандорум;Птичий короб"
