Любовь по правилам и без,Мелодрама,Комедия,Романтическая страсть,Новинки (2020–2025),6.1
Распутник,Мелодрама,Биографический,Романтическая страсть,Современное кино (2000–2020),6.9
Ты у меня одна,Мелодрама,Комедия,Семейная драма,Новинки (2020–2025),6.4
Любовь с первого взгляда,Мелодрама,Комедия,Романтическая страсть,Новинки (2020–2025),7.1
Идеальный муж,Мелодрама,Исторический,Историческая любовь,Классика (до 2000 года),7.5
Бесконечная любовь,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),6.1
Рецепт ее молодости,Мелодрама,Фэнтези,Романтическая страсть,Новинки (2020–2025),6.3
Мгновения Нью-Йорка,Мелодрама,Комедия,Романтическая страсть,Современное кино (2000–2020),6.4
Вечность между нами,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),6.5
Пятьдесят оттенков серого,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),4.1
Крепостная актриса,Мелодрама,Исторический,Историческая любовь,Современное кино (2000–2020),7.8
Ты встретишь таинственного незнакомца,Мелодрама,Детектив,Романтическая страсть,Современное кино (2000–2020),6.4
Петербург. Только по любви,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),6.4
Звезда пленительного счастья,Мелодрама,Исторический,Историческая любовь,Классика (до 2000 года),8.1
Дневник горничной,Мелодрама,Исторический,Романтическая страсть,Современное кино (2000–2020),6.4
Порочные игры,Мелодрама,Триллер,Романтическая страсть,Новинки (2020–2025),5.9
В стране женщин,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),6.6
Еще одна история о Золушке,Мелодрама,Комедия,Романтическая страсть,Современное кино (2000–2020),6.3
Только ты,Мелодрама,Комедия,Романтическая страсть,Современное кино (2000–2020),6.5
Скажи ей,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),7.7
Вестсайдская история,Мелодрама,Криминал,Трагический выбор,Классика (до 2000 года),8.2
Три метра над небом,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),7.4
Три метра над небом,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),7.7
Анжелика и султан,Мелодрама,Исторический,Историческая любовь,Классика (до 2000 года),7.1
Любовь и предательство,Мелодрама,Драма,Трагический выбор,Новинки (2020–2025),6.7
Старый знакомый,Мелодрама,Драма,Семейная драма,Классика (до 2000 года),7.1
Если только...,Мелодрама,Фантастика,Романтическая страсть,Классика (до 2000 года),7.6
Любовь под прикрытием,Мелодрама,Комедия,Романтическая страсть,Новинки (2020–2025),6.1
Непристойное предложение,Мелодрама,Драма,Романтическая страсть,Классика (до 2000 года),6.9
La Bohème,Мелодрама,Исторический,Историческая любовь,Классика (до 2000 года),8.0
Подари мне немного тепла,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),7.8
В зоне доступа любви,Мелодрама,Комедия,Романтическая страсть,Новинки (2020–2025),6.4
Полцарства за любовь,Мелодрама,Фэнтези,Романтическая страсть,Новинки (2020–2025),6.3
5 дней в августе,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),6.4
Человек со звезды,Мелодрама,Фантастика,Романтическая страсть,Современное кино (2000–2020),8.1
Любовь из пробирки,Мелодрама,Комедия,Романтическая страсть,Новинки (2020–2025),6.3
Подмосковные вечера,Мелодрама,Драма,Романтическая страсть,Классика (до 2000 года),6.7
С тобой и без тебя,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),6.7
Лучшее предложение,Мелодрама,Детектив,Трагический выбор,Современное кино (2000–2020),7.4
Когда цветет сирень,Мелодрама,Военный,Историческая любовь,Классика (до 2000 года),8.2
Химические сердца,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),6.5
Большая любовь,Мелодрама,Комедия,Романтическая страсть,Современное кино (2000–2020),6.3
Гранатовый браслет,Мелодрама,Исторический,Трагический выбор,Классика (до 2000 года),8.1
Джейн Эйр,Мелодрама,Исторический,Историческая любовь,Современное кино (2000–2020),7.4
Ангел,Мелодрама,Исторический,Историческая любовь,Современное кино (2000–2020),6.3
Чужая,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),6.1
Любовь без пересадок,Мелодрама,Драма,Трагический выбор,Новинки (2020–2025),6.8
Куда уходит любовь,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),6.7
Разрешите тебя поцеловать... снова,Мелодрама,Комедия,Романтическая страсть,Новинки (2020–2025),6.3
Унесенные ветром,Мелодрама,Исторический,Историческая любовь,Классика (до 2000 года),8.4
Мой единственный,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),7.3
Возьми меня штурмом,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),6.5
Горбатая гора,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),7.8
Если любишь — прости,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),6.6
Сибирь. Монамур,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),4.9
Земля Эльзы,Мелодрама,Комедия,Романтическая страсть,Современное кино (2000–2020),7.1
Зимняя вишня 2,Мелодрама,Драма,Семейная драма,Классика (до 2000 года),6.9
Яркая звезда,Мелодрама,Биографический,Историческая любовь,Современное кино (2000–2020),7.4
Анна Каренина. История Вронского,Мелодрама,Исторический,Историческая любовь,Современное кино (2000–2020),5.7
Безумный Пьеро,Мелодрама,Криминал,Романтическая страсть,Классика (до 2000 года),7.6
Валентин и Валентина,Мелодрама,Драма,Романтическая страсть,Классика (до 2000 года),7.9
Двойная жизнь Чарли Сан-Клауда,Мелодрама,Фэнтези,Романтическая страсть,Современное кино (2000–2020),6.8
Некрасивая Любовь,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),6.2
Время счастья,Мелодрама,Исторический,Семейная драма,Классика (до 2000 года),7.1
Бумажные города,Мелодрама,Детектив,Романтическая страсть,Современное кино (2000–2020),6.6
Спеши любить,Мелодрама,Комедия,Романтическая страсть,Новинки (2020–2025),6.2
Прости за любовь,Мелодрама,Комедия,Романтическая страсть,Новинки (2020–2025),6.4
Влюбиться в невесту брата,Мелодрама,Комедия,Романтическая страсть,Новинки (2020–2025),6.1
Под солнцем Тосканы,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),7.4
Романс Х,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),6.1
Будь со мной,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),6.8
После. Глава 2,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),5.8
Мое прекрасное лето с Софи,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),6.3
Американский жиголо,Мелодрама,Драма,Романтическая страсть,Классика (до 2000 года),6.9
Любовь случается,Мелодрама,Комедия,Романтическая страсть,Современное кино (2000–2020),6.3
Все радостные места,Мелодрама,Драма,Трагический выбор,Новинки (2020–2025),6.6
Питер FM,Мелодрама,Комедия,Романтическая страсть,Современное кино (2000–2020),6.8
Танцуй отсюда!,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),6.8
Двойная жизнь Камиллы,Мелодрама,Драма,Романтическая страсть,Классика (до 2000 года),7.9
Офицер и джентльмен,Мелодрама,Военный,Романтическая страсть,Классика (до 2000 года),7.8
Портрет жены художника,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),6.7
Навеки твоя,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),6.9
Первый троллейбус,Мелодрама,Исторический,Романтическая страсть,Классика (до 2000 года),6.9
Жила-была любовь,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),6.3
Любовь на кончиках пальцев,Мелодрама,Комедия,Романтическая страсть,Новинки (2020–2025),6.8
Лучшее во мне,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),6.7
Последняя любовь мистера Моргана,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),6.7
Шанхайский экспресс,Мелодрама,Приключения,Романтическая страсть,Классика (до 2000 года),7.5
